x_m,rho_exact,rhoP_exact,U_exact,Us_exact,p_exact,rho_numerical,rhoP_numerical,U_numerical,Us_numerical,p_numerical
2.375,1.0083622414416662,1.0139074101050174,0.008042302250172263,0.008456556670628392,1.0117071380183327,1.0083294012788,1.014,0.0079913345996643,0.0084635966117037,1.0116671801544
2.385,1.008630404257746,1.0140553089459476,0.008291007245111736,0.008272949606658852,1.0120825659608443,1.0085904620142,1.014,0.0082315084599762,0.0082842569721523,1.0120359452691
2.395,1.0088645068110773,1.014147737903728,0.008506991422255666,0.008056692990142979,1.0124103095355081,1.0088153315565,1.014,0.0084365009849544,0.008072882669986,1.0123539420314
2.405,1.0090636252058331,1.014184332203489,0.008689402390730638,0.007808640287147934,1.0126890752881663,1.0090206631816,1.014,0.008625946704275,0.0078298201940534,1.0126445343907
2.415,1.009226973612678,1.0141649474242478,0.008837520257779743,0.007529770448367912,1.0129177630577493,1.0092094757504,1.014,0.0088043189983061,0.0075550477096629,1.0129119562513
2.425,1.009353907370077,1.0140896600688718,0.008950760469850341,0.007221184045653086,1.0130954703181076,1.0093560101634,1.0150000000000001,0.0089421577887423,0.007248501017605,1.0131199465599
2.435,1.00944392552848,1.0139587672621577,0.00902867611955993,0.006884098928555237,1.013221495739872,1.0094372392474,1.014,0.0090091817156917,0.0069127287836436,1.0132360925754
2.445,1.0094966728273413,1.0137727855782137,0.009070959709435372,0.006519845418032039,1.0132953419582778,1.0094595619601,1.0130000000000001,0.0090215706734844,0.0065507638294823,1.0132689289023
2.455,1.0095119410971702,1.0135324490017799,0.009077444365464971,0.006129861056277889,1.0133167175360382,1.0094617675121,1.0130000000000001,0.0090090020803472,0.0061645607550014,1.0132735982341
2.465,1.0094896700810811,1.013238706031524,0.009048104495673934,0.005715684933401752,1.0132855381135135,1.0094426553732,1.0130000000000001,0.0089848146737282,0.005754475944508,1.0132486229339
2.475,1.0094299476725999,1.0128927159367511,0.008983055891124211,0.005278951613341527,1.0132019267416397,1.0093923388613,1.014,0.0089313229107638,0.0053210481245492,1.0131793298497
2.485,1.009333009568788,1.0124958441822973,0.008882555268940086,0.004821384682987054,1.0130662133963033,1.0093084289397,1.012,0.0088468127233561,0.0048657915254029,1.0130624711382
